TRACE (ray tracing) @ frequency of    1700.00     Hz
Reg Path(Re)  TimeG(s) %dTimeG/T %dPath/WL    WL(km)    R(Re) Alt(km)    Lat^o   Long^o     L(Re)         F/Fge           F/FgH         n(cm-3)       %H+  %He+   %O+ LHR/kHz   RefrInd VeK^o AzK^o ThK^o ThG^o PhK^o Gen^o Res^o
 0 0.336     0.111      38.1      40.6      11.0      5.81869  30700.  -4.1156   0.7574   5.849             0.47235       867.23199            8.31 100.0   0.0   0.0   0.083  16.1     114.4 193.4 154.1 181.2 180.0 160.9 118.2
 0 0.343     0.114      38.0      40.5      11.0      5.81902  30702.  -4.1826   0.7734   5.850             0.47245       867.42133            8.31 100.0   0.0   0.0   0.083  16.0     114.2 193.4 154.4 181.1 180.0 160.9 118.2
 0 0.350     0.116      37.9      40.3      11.0      5.81933  30704.  -4.2495   0.7894   5.851             0.47255       867.59467            8.31 100.0   0.0   0.0   0.083  16.0     114.0 193.4 154.8 181.0 180.0 160.9 118.2
 0 0.357     0.118      37.8      40.2      11.1      5.81961  30706.  -4.3163   0.8053   5.853             0.47263       867.75287            8.31 100.0   0.0   0.0   0.083  15.9     113.8 193.4 155.1 181.0 180.0 161.0 118.2
 0 0.364     0.120      37.7      40.1      11.1      5.81987  30707.  -4.3831   0.8213   5.854             0.47271       867.89728            8.31 100.0   0.0   0.0   0.083  15.9     113.6 193.4 155.4 180.9 180.0 161.0 118.2
 0 0.371     0.123      37.6      39.9      11.1      5.82010  30709.  -4.4499   0.8372   5.855             0.47278       868.02576            8.31 100.0   0.0   0.0   0.083  15.8     113.4 193.4 155.7 180.8 180.0 161.0 118.2
 0 0.378     0.125      37.5      39.8      11.2      5.82030  30710.  -4.5167   0.8532   5.857             0.47284       868.13892            8.31 100.0   0.0   0.0   0.083  15.8     113.2 193.4 156.1 180.8 180.0 161.0 118.2
 0 0.385     0.127      37.4      39.7      11.2      5.82048  30711.  -4.5835   0.8691   5.858             0.47290       868.23743            8.31 100.0   0.0   0.0   0.083  15.8     113.0 193.4 156.4 180.7 180.0 161.0 118.2
 0 0.392     0.129      37.3      39.6      11.2      5.82064  30712.  -4.6502   0.8851   5.859             0.47294       868.32037            8.31 100.0   0.0   0.0   0.083  15.7     112.9 193.4 156.7 180.6 180.0 161.1 118.2
 0 0.398     0.131      37.2      39.4      11.2      5.82077  30713.  -4.7169   0.9010   5.860             0.47298       868.38971            8.31 100.0   0.0   0.0   0.083  15.7     112.7 193.4 157.0 180.6 180.0 161.1 118.2
 0 0.405     0.134      37.1      39.3      11.3      5.82088  30714.  -4.7836   0.9169   5.862             0.47301       868.44287            8.31 100.0   0.0   0.0   0.083  15.6     112.5 193.4 157.4 180.5 180.0 161.1 118.2
 0 0.412     0.136      37.0      39.2      11.3      5.82096  30714.  -4.8502   0.9328   5.863             0.47303       868.48322            8.31 100.0   0.0   0.0   0.083  15.6     112.3 193.4 157.7 180.5 180.0 161.1 118.2
 0 0.419     0.138      36.9      39.1      11.3      5.82102  30715.  -4.9167   0.9487   5.864             0.47304       868.50787            8.31 100.0   0.0   0.0   0.083  15.6     112.1 193.4 158.0 180.4 180.0 161.1 118.2
 0 0.426     0.140      36.8      39.0      11.4      5.82105  30715.  -4.9832   0.9646   5.865             0.47305       868.51892            8.31 100.0   0.0   0.0   0.083  15.5     111.9 193.4 158.4 180.4 180.0 161.1 118.2
 0 0.433     0.142      36.7      38.9      11.4      5.82106  30715.  -5.0497   0.9805   5.867             0.47305       868.51544            8.31 100.0   0.0   0.0   0.083  15.5     111.7 193.4 158.7 180.3 180.0 161.1 118.2
 0 0.440     0.144      36.6      38.8      11.4      5.82105  30715.  -5.1161   0.9964   5.868             0.47304       868.49908            8.31 100.0   0.0   0.0   0.083  15.5     111.5 193.4 159.0 180.3 180.0 161.1 118.2
 0 0.447     0.147      36.6      38.7      11.4      5.82102  30715.  -5.1825   1.0123   5.869             0.47302       868.46893            8.31 100.0   0.0   0.0   0.083  15.4     111.3 193.4 159.4 180.2 180.0 161.1 118.2
 0 0.454     0.149      36.5      38.6      11.5      5.82097  30714.  -5.2489   1.0282   5.870             0.47300       868.42603            8.31 100.0   0.0   0.0   0.083  15.4     111.1 193.4 159.7 180.2 180.0 161.1 118.2
 0 0.461     0.151      36.4      38.5      11.5      5.82089  30714.  -5.3154   1.0441   5.871             0.47297       868.36804            8.31 100.0   0.0   0.0   0.083  15.4     110.9 193.4 160.0 180.1 180.0 161.1 118.2
 0 0.468     0.153      36.3      38.4      11.5      5.82080  30713.  -5.3818   1.0600   5.872             0.47293       868.29694            8.31 100.0   0.0   0.0   0.083  15.3     110.7 193.4 160.4 180.1 180.0 161.1 118.2
 0 0.475     0.155      36.2      38.3      11.5      5.82068  30713.  -5.4482   1.0759   5.874             0.47288       868.21313            8.31 100.0   0.0   0.0   0.083  15.3     110.5 193.4 160.7 180.0 180.0 161.0 118.2
 0 0.482     0.157      36.2      38.2      11.6      5.82054  30712.  -5.5145   1.0918   5.875             0.47283       868.11578            8.31 100.0   0.0   0.0   0.083  15.3     110.3 193.4 161.0 180.0 180.0 161.0 118.2
 0 0.489     0.159      36.1      38.1      11.6      5.82037  30711.  -5.5809   1.1077   5.876             0.47277       868.00452            8.31 100.0   0.0   0.0   0.083  15.2     110.1 193.4 161.4 180.0 180.0 161.0 118.2
