  L (Re)    Alt (km) ID   n(cm-3)      %H+     %He+     %O+
  6.12     0.326E+05  0  50.0      100.      0.00      0.00    
  6.14     0.327E+05  0  49.9      100.      0.00      0.00    
  6.16     0.329E+05  0  49.8      100.      0.00      0.00    
  6.18     0.330E+05  0  49.7      100.      0.00      0.00    
  6.20     0.331E+05  0  49.6      100.      0.00      0.00    
  6.22     0.333E+05  0  49.5      100.      0.00      0.00    
  6.24     0.334E+05  0  49.4      100.      0.00      0.00    
  6.26     0.335E+05  0  49.3      100.      0.00      0.00    
  6.28     0.336E+05  0  49.2      100.      0.00      0.00    
  6.30     0.338E+05  0  49.1      100.      0.00      0.00    
  6.32     0.339E+05  0  49.0      100.      0.00      0.00    
  6.34     0.340E+05  0  48.9      100.      0.00      0.00    
  6.36     0.341E+05  0  48.8      100.      0.00      0.00    
  6.38     0.343E+05  0  48.7      100.      0.00      0.00    
  6.40     0.344E+05  0  48.6      100.      0.00      0.00    
  6.42     0.345E+05  0  48.6      100.      0.00      0.00    
  6.44     0.347E+05  0  48.5      100.      0.00      0.00    
  6.46     0.348E+05  0  48.4      100.      0.00      0.00    
  6.48     0.349E+05  0  48.3      100.      0.00      0.00    
  6.50     0.350E+05  0  48.2      100.      0.00      0.00    
  6.52     0.352E+05  0  48.1      100.      0.00      0.00    
  6.54     0.353E+05  0  48.0      100.      0.00      0.00    
  6.56     0.354E+05  0  48.0      100.      0.00      0.00    
  6.58     0.356E+05  0  47.9      100.      0.00      0.00    
  6.60     0.357E+05  0  47.8      100.      0.00      0.00    
  6.62     0.358E+05  0  47.7      100.      0.00      0.00    
  6.64     0.359E+05  0  47.6      100.      0.00      0.00    
  6.66     0.361E+05  0  47.5      100.      0.00      0.00    
  6.68     0.362E+05  0  47.5      100.      0.00      0.00    
  6.70     0.363E+05  0  47.4      100.      0.00      0.00    
  6.72     0.364E+05  0  47.3      100.      0.00      0.00    
  6.74     0.366E+05  0  47.2      100.      0.00      0.00    
  6.76     0.367E+05  0  47.1      100.      0.00      0.00    
  6.78     0.368E+05  0  47.1      100.      0.00      0.00    
  6.80     0.370E+05  0  47.0      100.      0.00      0.00    
  6.82     0.371E+05  0  46.9      100.      0.00      0.00    
  6.84     0.372E+05  0  46.8      100.      0.00      0.00    
  6.86     0.373E+05  0  46.8      100.      0.00      0.00    
  6.88     0.375E+05  0  46.7      100.      0.00      0.00    
  6.90     0.376E+05  0  46.6      100.      0.00      0.00    
  6.92     0.377E+05  0  46.5      100.      0.00      0.00    
  6.94     0.378E+05  0  46.5      100.      0.00      0.00    
  6.96     0.380E+05  0  46.4      100.      0.00      0.00    
  6.98     0.381E+05  0  46.3      100.      0.00      0.00    
  7.00     0.382E+05  0  46.2      100.      0.00      0.00    
